,filename,cell_index,cell_type,slide_type,n_lines,cell_text
0,11_transformers.ipynb,0,code,-,1,from torch import nn
1,11_transformers.ipynb,1,markdown,slide,1,<center><h1>Transformers</h1></center>
2,11_transformers.ipynb,2,markdown,slide,8,# Outline	1. Sequence-to-Sequence (seq2seq) learning. Encoder-decoder architecture.	1. Motivation of Transformer.	1. Attention	1. Transformer block	1. Encoder	1. Decoder	1. BERT
3,11_transformers.ipynb,3,markdown,slide,1,# seq2seq. Encoder-decoder architecture
4,11_transformers.ipynb,4,markdown,slide,5,"<center>	RNN for classification	<br>	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/rnn-classification.png"">	</center>"
5,11_transformers.ipynb,5,markdown,slide,5,"<center>	RNN for language modeling	<br>	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/rnn-lm.png"">	</center>"
6,11_transformers.ipynb,6,markdown,slide,8,"In the demo [language model with RNN](https://colab.research.google.com/drive/1Qo2sLGHgWL1f0VnZXS1vyrdvc3XupLEr#scrollTo=YCjdUfGrsqWr) we trained a <font color=""red"">conditioned</font> RNN:		$$	h_t = f(h_{t-1}, x_t, \color{red}{c})	$$	$$	y_t = g(h_t)	$$"
7,11_transformers.ipynb,7,markdown,slide,5,We need conditioning in many applications:	- Machine translation (English $\rightarrow$ Spanish)	- Text summarization (long text $\rightarrow$ short text)	- Dialogue / Chatbots / Question answering	- ...
8,11_transformers.ipynb,8,markdown,slide,5,**Idea**:	1. _Learn_ the condition from the first sequence (many-to-one RNN).	1. Use the learned condition to generate the second sequence (many-to-many language model RNN).		> This is called sequence-to-sequence (seq2seq) learning.
9,11_transformers.ipynb,9,markdown,slide,5,"<center>	RNN for seq2seq	<br>	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/rnn-seq2seq.png"">	</center>"
10,11_transformers.ipynb,10,markdown,slide,7,"Definitions:	- The part that _learns_ the condition is called **encoder**.	- The part that generates the result based on the condition is called **decoder**.		**Intuition**:	- Encoder learns (""encodes"") the representation of the input sequence	- Decoder reconstructs (""decodes"") the text from the learned representation."
11,11_transformers.ipynb,11,markdown,slide,5,# Motivation of Transformer		**Problem**: RNN is sequential (= slow).		**Q**: But _why_ do we use it?
12,11_transformers.ipynb,12,markdown,slide,1,"**A**: RNN accepts texts of any length and should learn _long-term dependencies_ between words (at least, in theory)."
13,11_transformers.ipynb,13,markdown,slide,41,"This is how dependencies may look like:	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/word-dependencies.png"" style=""width:70%;"">	<table>	<tbody>	<tr>	<td></td>	<td><b>This</b></td>	<td><b>is</b></td>	<td><b>a</b></td>	<td><b>sentence</b></td>	</tr>	<tr>	<td><b>This</b></td>	<td>DET</td>	<td></td>	<td></td>	<td></td>	</tr>	<tr>	<td><b>is</b></td>	<td>nsubj</td>	<td>AUX</td>	<td></td>	<td>attr</td>	</tr>	<tr>	<td><b>a</b></td>	<td></td>	<td></td>	<td>DET</td>	<td></td>	</tr>	<tr>	<td><b>sentence</b></td>	<td></td>	<td></td>	<td>det</td>	<td>NOUN</td>	</tr>	</tbody>	</table>"
14,11_transformers.ipynb,14,markdown,slide,1,# Attention
15,11_transformers.ipynb,15,markdown,slide,7,"RNNs produce **word vectors** based on **dependencies** between words.		**Idea**: represent words as vectors and measure dependency using dot product.		**Our goal**: represent a word $q$ given the sequence $k_1, k_2, \dots$		> $q$ does not necessarily belong to the sequence!"
16,11_transformers.ipynb,16,markdown,slide,4,**Definitions**:	- $k_i$ is a **key** vector of size $d_k$.	- Each key $k_i$ has the associated **value** - vector $v_i$ of size $d_v$.	- $q$ is a **query** vector of size $\color{red}{d_k}$.
17,11_transformers.ipynb,17,markdown,slide,4,- Dependency between $q$ and $k_i$ is quantified by a dot product:	$$	\mathrm{softmax}(q \cdot k_i) = \dfrac{\exp(q \cdot k_i)}{\sum_j \exp(q \cdot k_j)}	$$
18,11_transformers.ipynb,18,markdown,slide,4,"- The vector for $q$ is the average value vector:	$$	A(q, k_1, v_1, k_2, v_2, \dots) = \sum_i v_i \cdot \mathrm{softmax}(q \cdot k_i)	$$"
19,11_transformers.ipynb,19,markdown,slide,4,"Put all keys into matrix $K$ and all values into matrix $V$:	$$	A(q, K, V) = \sum_i v_i \cdot \mathrm{softmax}(q \cdot k_i)	$$"
20,11_transformers.ipynb,20,markdown,slide,4,"If we have many queries, put them into matrix $Q$:	$$	A(Q, K, V) = \mathrm{softmax}(Q K^T) V	$$"
21,11_transformers.ipynb,21,markdown,slide,6,"**Problem**: for large $d_k$, dot products are large and softmax is ""peaked"".		**Solution**: normalize the dot product:	$$	A(Q, K, V) = \mathrm{softmax}\left(\dfrac{Q K^T}{\color{red}{\sqrt{d_k}}}\right) V	$$"
22,11_transformers.ipynb,22,markdown,slide,3,"<center>	<img src=""http://nlp.seas.harvard.edu/images/the-annotated-transformer_33_0.png"">	</center>"
23,11_transformers.ipynb,23,markdown,slide,1,"The function $A(Q, K, V)$ is called **Dot-Product Attention** function."
24,11_transformers.ipynb,24,markdown,slide,5,In the **encoder**: $Q = K = V$.		> In other words: word vectors themselves select each other		We’ll see in the **decoder** why we separate them in the definition.
25,11_transformers.ipynb,25,markdown,slide,3,**Problem**: only one way for words to interact with one-another.		**Solution**: _multi-head_ attention
26,11_transformers.ipynb,26,markdown,slide,5,"- First map $Q, K, V$ into $h=8$ lower dimensional spaces via linear layers.	- Then apply attention.	- Then concatenate outputs and pipe through linear layer.		<img src=""http://nlp.seas.harvard.edu/images/the-annotated-transformer_38_0.png"">"
27,11_transformers.ipynb,27,markdown,slide,1,# Transformer block
28,11_transformers.ipynb,28,markdown,slide,3,**Transformer block** is a layer that has two “sublayers”	1. Multihead attention	2. 2-layer feed-forward neural network (with ReLU)
29,11_transformers.ipynb,29,markdown,slide,3,"<center>	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/transformer-block.png"">	</center>"
30,11_transformers.ipynb,30,markdown,slide,6,	Techniques to speed up training:	- Residual connection	- Dropout	- Layer normalization	
31,11_transformers.ipynb,31,markdown,slide,1,## Residual connection
32,11_transformers.ipynb,32,markdown,slide,6,"For a layer $\mathcal{F}(\mathbf{x})$, the _residual connection_ is $\mathcal{F}(\mathbf{x}) + \mathbf{x}$.		<br>	<center>	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/residual.JPEG"" style=""width:50%"">	</center>"
33,11_transformers.ipynb,33,markdown,slide,4,**Idea**: it helps to propagate the gradient	$$	\dfrac{\partial (\mathcal{F}(\mathbf{x}) + \mathbf{x})}{\partial \mathbf{x}} = \dfrac{\partial \mathcal{F}(\mathbf{x})}{\partial \mathbf{x}} \color{red}{+ 1}	$$
34,11_transformers.ipynb,34,markdown,slide,4,"## Dropout	Dropout, applied to a layer, consists of randomly dropping out (setting to zero) a number of output features of the layer during training.		![dropout](https://raw.githubusercontent.com/horoshenkih/harbour-space-ds210/master/pic/dropout.png)"
35,11_transformers.ipynb,35,markdown,slide,3,**Intuition**: voting over $2^N$ thinned networks with shared weights		![thinned networks](https://raw.githubusercontent.com/horoshenkih/harbour-space-ds210/master/pic/thinned-networks.png)
36,11_transformers.ipynb,36,markdown,slide,1,## Layer normalization
37,11_transformers.ipynb,37,markdown,slide,2,"	Layer normalization changes input to have mean 0 and variance 1, per layer and per training point (and adds two more parameters)"
38,11_transformers.ipynb,38,code,slide,12,"class LayerNorm(nn.Module):	""Construct a layernorm module.""	def __init__(self, features, eps=1e-6):	super(LayerNorm, self).__init__()	self.a_2 = nn.Parameter(torch.ones(features))	self.b_2 = nn.Parameter(torch.zeros(features))	self.eps = eps		def forward(self, x):	mean = x.mean(-1, keepdim=True)	std = x.std(-1, keepdim=True)	return self.a_2 * (x - mean) / (std + self.eps) + self.b_2"
39,11_transformers.ipynb,39,markdown,slide,4,"	From the [original paper](https://arxiv.org/pdf/1607.06450.pdf):		> Layer normalization is very effective at **stabilizing** the hidden state dynamics in recurrent networks. Empirically, we show that layer normalization can substantially **reduce the training time** compared with previously published techniques."
40,11_transformers.ipynb,40,markdown,slide,3,Back to the **transformer block**: 2 sublayers	1. Multihead attention	2. 2-layer feed-forward neural network (with ReLU)
41,11_transformers.ipynb,41,markdown,slide,4,"To speed up training, the actual output of each $\mathrm{Sublayer}(x)$ is	$$	\mathrm{LayerNorm}(x + \mathrm{Dropout}(\mathrm{Sublayer}(x)))	$$"
42,11_transformers.ipynb,42,code,slide,13,"class SublayerConnection(nn.Module):	""""""	A residual connection followed by a layer norm.	Note for code simplicity the norm is first as opposed to last.	""""""	def __init__(self, size, dropout):	super(SublayerConnection, self).__init__()	self.norm = LayerNorm(size)	self.dropout = nn.Dropout(dropout)		def forward(self, x, sublayer):	""Apply residual connection to any sublayer with the same size.""	return x + self.dropout(sublayer(self.norm(x)))"
43,11_transformers.ipynb,43,markdown,slide,1,# Encoder
44,11_transformers.ipynb,44,markdown,slide,1,## Input: byte-pair encoding
45,11_transformers.ipynb,45,markdown,slide,4,"**Problem**: represent rare words (like ""sesquipedalophobia"").		**Solution**: use subword units.	> In FastText, $n$-grams are used."
46,11_transformers.ipynb,46,markdown,slide,5,"**Q**: which $n$ shall we use?		**A**: don't fix $n$, extract frequent subwords instead.		> This is inspired by the data compression technique called Byte Pair Encoding."
47,11_transformers.ipynb,47,markdown,slide,1,![](https://miro.medium.com/max/1400/1*x1Y_n3sXGygUPSdfXTm9pQ.gif)
48,11_transformers.ipynb,48,markdown,slide,3,"In Text Mining, BPE is slightly modified in its implementation: the frequently occurring subword pairs are **merged together instead of being replaced** by another byte to enable compression.		> For example, the rare word `sesquipedalophobia` will be split up into more frequent subwords such as `['_se', 'squi', 'pedal', 'ophobia']`."
49,11_transformers.ipynb,49,markdown,slide,5,"1. Initialize vocabulary.	2. Represent each word in the corpus as a combination of the characters along with the special end of word token `</w>`.	2. Iteratively count character pairs in all tokens of the vocabulary.	4. Merge every occurrence of the most frequent pair, add the new character n-gram to the vocabulary.	5. Repeat step 4 until the desired number of merge operations are completed or the desired vocabulary size is achieved (which is a hyperparameter)."
50,11_transformers.ipynb,50,markdown,slide,1,## Input: positional encoding
51,11_transformers.ipynb,51,markdown,slide,1,"**Problem**: we don't want the model to be sequential, but word order is important."
52,11_transformers.ipynb,52,markdown,slide,1,**Solution**: represent the _position_ as a vector.
53,11_transformers.ipynb,53,markdown,slide,15,"The exact formula:	$$	PE(pos) = \begin{pmatrix}	\cos\left(\dfrac{pos}{1}\right) \\	\sin\left(\dfrac{pos}{1}\right) \\	\cos\left(\dfrac{pos}{10000^{\frac{2}{d}}}\right) \\	\sin\left(\dfrac{pos}{10000^{\frac{2}{d}}}\right) \\	\dots \\	\cos\left(\dfrac{pos}{10000}\right) \\	\sin\left(\dfrac{pos}{10000}\right) \\	\end{pmatrix}	$$		From the [original paper](https://arxiv.org/pdf/1706.03762.pdf):	> it would allow the model to easily learn to attend by relative positions, since for any fixed offset $k$, $PE(pos+k)$ can be represented as a linear function of $PE(pos)$."
54,11_transformers.ipynb,54,markdown,slide,5,"## Complete encoder	<center>	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/transformer-encoder.png"">	</center>	Blocks are repeated 6 times (in vertical stack)."
55,11_transformers.ipynb,55,markdown,slide,1,![](https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/attention-1.png)
56,11_transformers.ipynb,56,markdown,slide,1,![](https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/attention-2.png)
57,11_transformers.ipynb,57,markdown,slide,1,# Decoder
58,11_transformers.ipynb,58,markdown,slide,5,"## Masked self-attention	$$	A(q, k_1, v_1, k_2, v_2, \dots) = \sum_{i \color{red}{ < t}} v_i \cdot \mathrm{softmax}(q \cdot k_i)	$$	where $q = k_t$ for some $t$."
59,11_transformers.ipynb,59,markdown,slide,4,"Why do we need masking?	- Suppose $k_t$ attends to some future word $k_{t + \delta}$.	- The word $k_{t + \delta}$ may attend the word $k_t$ **in one of the previous transformer blocks**.	- So $k_t$ may effectively ""see itself""."
60,11_transformers.ipynb,60,markdown,slide,3,## Encoder-Decoder Attention	- queries come from previous decoder layer	- keys and values come from output of encoder
61,11_transformers.ipynb,61,markdown,slide,3,"<center>	<img src=""http://nlp.seas.harvard.edu/images/the-annotated-transformer_14_0.png"">	</center>"
62,11_transformers.ipynb,62,markdown,slide,1,# BERT (Bidirectional Encoder Representations from Transformers)
63,11_transformers.ipynb,63,markdown,slide,1,"**Problem**: Transformer uses _masking_ so that words cannot ""see themselves"" - but _language understanding_ is bidirectional!"
64,11_transformers.ipynb,64,markdown,slide,2,"1. ""Students opened their ___ as the proctor started the clock.""	1. ""Students opened their ___ and started coding."""
65,11_transformers.ipynb,65,markdown,slide,2,"**Solution**: Mask out 15% of the input words, and then predict the masked words.	> the man went to the [MASK] to buy a [MASK] of milk"
66,11_transformers.ipynb,66,markdown,slide,3,"<center>	<img src=""https://raw.githubusercontent.com/horoshenkih/harbour-space-text-mining-course/master/pic/elmo-gpt-bert.png"">	</center>"
67,11_transformers.ipynb,67,markdown,slide,1,# Demo: [transformer notebooks](https://huggingface.co/transformers/notebooks.html)
68,11_transformers.ipynb,68,markdown,slide,13,"# Summary	1. Sequence-to-Sequence (seq2seq): learn the condition with _encoder_, then generate text with conditioning with _decoder.	1. Motivation of Transformer: learn long-range dependencies faster.	1. Attention: measure dependency between words using dot product of vectors.	1. Transformer block:	- multi-head attention + FFNN	- residual connections, dropout, layer normalization	1. Encoder	- input: BPE, positional encoding	1. Decoder	- masked self-attention, encoder-decoder attention	1. BERT	- bidirectional model with masking"
69,11_transformers.ipynb,69,markdown,slide,7,"# Recommended resources	- [CS224n Lecture 13: Contextual Word Representations	and Pretraining](https://web.stanford.edu/class/archive/cs/cs224n/cs224n.1194/slides/cs224n-2019-lecture13-contextual-representations.pdf)	- [The Annotated Transformer](http://nlp.seas.harvard.edu/2018/04/03/attention.html)	- [Transformer Notebooks](https://huggingface.co/transformers/notebooks.html)	- [Byte Pair Encoding — The Dark Horse of Modern NLP](https://towardsdatascience.com/byte-pair-encoding-the-dark-horse-of-modern-nlp-eb36c7df4f10)	- [The Illustrated BERT, ELMo, and co. (How NLP Cracked Transfer Learning)](http://jalammar.github.io/illustrated-bert/)"
70,12_news_aggregator.ipynb,0,code,-,19,"#@title <b><font color=""red"">▶</font><font color=""black""> run this cell to prepare supplementary materials for the lesson</font></b>		!rm -rf harbour-space-text-mining-course	!git clone https://github.com/horoshenkih/harbour-space-text-mining-course.git	import sys	sys.path.append('harbour-space-text-mining-course')		from tmcourse.utils import (	display_cv_results,	display_token_importance,	)		import numpy as np	from collections import Counter	from math import exp	from tabulate import tabulate	from tqdm.notebook import tqdm	from IPython.display import HTML, display	!pip install fasttext"
71,12_news_aggregator.ipynb,1,markdown,slide,1,<center><h1>Case study: Telegram News Aggregator </h1></center>
72,12_news_aggregator.ipynb,2,markdown,slide,15,# So far	Concepts:	1. TF-IDF	1. Language Models	1. Text Classification	1. Text Clustering	1. Topic Modeling	1. Word Vectors		Algorithms:	1. $n$-gram language models	1. Logistic Regression	1. $k$-means	1. LDA	1. Neural Networks
73,12_news_aggregator.ipynb,3,markdown,slide,9,# Telegram News Aggregator Contest		1. Isolate articles in English and Russian.	1. Isolate news articles.	1. Group news articles by category.	1. Group similar news into threads.	1. Sort threads by their relative importance.		[link](https://contest.com/docs/data_clustering)
74,12_news_aggregator.ipynb,4,markdown,slide,5,"## 1. Isolate articles in English and Russian.		Your algorithm must sort articles by language, filtering English and Russian articles. Articles in other languages are not relevant for this stage of the contest and may be discarded.		**Q: how to do it?**"
75,12_news_aggregator.ipynb,5,markdown,slide,5,> Text Mining problem: Language Identification.		Language Identification can be solved using _subword information_: for often different combinations of tokens occur:	- $n$-gram or RNN language model for characters	- Pre-trained FastText model for language identification: [link](https://fasttext.cc/docs/en/language-identification.html)
76,12_news_aggregator.ipynb,6,markdown,slide,4,## 2. Isolate news articles.	Your algorithm must discard everything except for news articles.		**Q: how to do it?**
77,12_news_aggregator.ipynb,7,markdown,slide,1,> Text Mining problem: Classification.
78,12_news_aggregator.ipynb,8,markdown,slide,13,"## 3. Group news articles by category.	Your algorithm must place news articles into the following 7 categories:		1. Society (includes Politics, Elections, Legislation, Incidents, Crime)	1. Economy (includes Markets, Finance, Business)	1. Technology (includes Gadgets, Auto, Apps, Internet services)	1. Sports (includes E-Sports)	1. Entertainment (includes Movies, Music, Games, Books, Arts)	1. Science (includes Health, Biology, Physics, Genetics)	1. Other (news articles that don't fall into any of the above categories)		**Q: how to do it?**	"
79,12_news_aggregator.ipynb,9,markdown,slide,3,"> Text Mining problem: Classification.		Instead of 2 classification problems, we can add one more category that corresponds to articles which are not news articles."
80,12_news_aggregator.ipynb,10,markdown,slide,4,"## 4. Group similar news into threads.	Your algorithm must identify news articles about the same event and group them together into threads, selecting a relevant title for each thread. News articles inside each thread must be sorted according to their relevance (most relevant at the top).		**Q: how to do it?**"
81,12_news_aggregator.ipynb,11,markdown,slide,7,> Text Mining problem: Clustering.		Subproblems:	1. Texts to vectors	1. Vectors to clusters	1. Relevant title	1. Ranking
82,12_news_aggregator.ipynb,12,markdown,slide,4,"## 5. Sort threads by their relative importance.	Your algorithm must sort news threads in each of the categories based on perceived importance (important at the top). In addition, the algorithm must build a global list of threads, indepedent of category, sorted by perceived importance (important at the top).		**Q: how to do it?**"
83,12_news_aggregator.ipynb,13,markdown,slide,6,"> Not exactly a Text Mining problem, can be solved using Machine Learning (ranking).		Features:	- Number of documents in a thread.	- ""Freshness"" of documents if a thread.	- ""Authority"" of sources ([PageRank](https://en.wikipedia.org/wiki/PageRank))."
84,12_news_aggregator.ipynb,14,markdown,slide,1,# Colab demo: Get the data
85,12_news_aggregator.ipynb,15,code,-,4,# download one sample of data	!wget https://data-static.usercontent.dev/DataClusteringSample0107.tar.gz	!mkdir -p DataClustering	!tar -xvf DataClusteringSample0107.tar.gz -C DataClustering
86,12_news_aggregator.ipynb,16,code,-,5,"# get list of files using glob	import glob	from IPython.display import HTML, display	files = list(sorted(glob.glob(""DataClustering/*/*/*.html"")))	len(files)"
87,12_news_aggregator.ipynb,17,code,-,3,# data contains html files	with open(files[359]) as f:	print(f.read())
88,12_news_aggregator.ipynb,18,code,-,3,# there are samples in different languages	with open(files[10003]) as f:	display(HTML(f.read()))
89,12_news_aggregator.ipynb,19,code,-,3,# some of the samples are news	with open(files[359]) as f:	display(HTML(f.read()))
90,12_news_aggregator.ipynb,20,code,-,3,# some samples are not news	with open(files[24114]) as f:	display(HTML(f.read()))
91,12_news_aggregator.ipynb,21,markdown,-,1,Parsing
92,12_news_aggregator.ipynb,22,code,-,28,"from dateutil.parser import parse	from collections import namedtuple		# store structured information about the document	Sample = namedtuple(""Sample"", ""text title published_time short_text"")		def parse_html(html):	from bs4 import BeautifulSoup	soup = BeautifulSoup(html, 'html.parser')	title_tag = soup.find(""meta"", property=""og:title"")	if title_tag:	title = title_tag[""content""].strip()	else:	title = """"	description_tag = soup.find(""meta"", property=""og:description"")	if description_tag:	description = description_tag[""content""].strip()	else:	description = """"	h1 = [_.text.strip() for _ in soup.find_all('h1')]	h2 = [_.text.strip() for _ in soup.find_all('h2')]	paragraphs = [_.text.strip() for _ in soup.find_all('p')]		text = ""\t"".join([title, description] + h1 + h2 + paragraphs).replace(""\n"", "" "")	short_text = ""\t"".join([title, description])	published_time_tag = soup.find(""meta"", property=""article:published_time"")	published_time = parse(published_time_tag[""content""].strip())	return Sample(text=text, title=title, published_time=published_time, short_text=short_text)"
93,12_news_aggregator.ipynb,23,markdown,-,1,Look at the parsed data
94,12_news_aggregator.ipynb,24,code,-,7,from pprint import pprint	with open(files[100]) as f:	sample = parse_html(f.read())	print(sample.published_time)	print(sample.title)	print(sample.short_text)	print(sample.text)
95,12_news_aggregator.ipynb,25,code,-,7,# parse all	from tqdm.notebook import tqdm		samples = []	for p in tqdm(files):	with open(p) as f:	samples.append(parse_html(f.read()))
96,12_news_aggregator.ipynb,26,markdown,slide,3,# Colab demo: Language identification		We will isolate only English articles.
97,12_news_aggregator.ipynb,27,code,-,2,# get FastText model for language isentification	!wget https://dl.fbaipublicfiles.com/fasttext/supervised-models/lid.176.ftz
98,12_news_aggregator.ipynb,28,code,-,15,"from collections import Counter	from pprint import pprint	import fasttext		li_model = fasttext.load_model(""lid.176.ftz"")		samples_en = []	language_counter = Counter()	for sample in tqdm(samples):	text = sample.text	predicted_language = li_model.predict(text)[0][0][len(""__label__""):]	language_counter[predicted_language] += 1	if predicted_language == ""en"":	samples_en.append(sample)	pprint(language_counter, compact=True)"
99,12_news_aggregator.ipynb,29,markdown,slide,3,"# Classification		**Problem**: In the contest, data is provided without labels. How to train classification?"
100,12_news_aggregator.ipynb,30,markdown,slide,5,Possible solutions:	- Classify training data manually.	- Use crowdsourcing ([Yandex.Toloka](https://toloka.yandex.com) or [Amazon Mechanical Turk](https://www.mturk.com/)).	- Find similar labelled dataset.	- Use [Google Dataset Search](https://datasetsearch.research.google.com/)
101,12_news_aggregator.ipynb,31,markdown,slide,5,"## Colab demo: [BBC articles dataset](https://www.kaggle.com/yufengdev/bbc-fulltext-and-category)		**Advantages**: full texts.		**Disadvantages**: small dataset, not enough categories."
102,12_news_aggregator.ipynb,32,code,-,3,"import pandas as pd	df_bbc = pd.read_csv(""harbour-space-text-mining-course/datasets/bbc/bbc-text.csv"")	df_bbc.head()"
103,12_news_aggregator.ipynb,33,markdown,-,1,"The external dataset has categories different from the contest, so we need to find the mapping between them."
104,12_news_aggregator.ipynb,34,code,-,1,df_bbc.category.unique()
105,12_news_aggregator.ipynb,35,code,-,10,"df_bbc[""ContestCategory""] = df_bbc.category.map(	{	""tech"": ""Technology"",	""business"": ""Economy"",	""sport"": ""Sports"",	""entertainment"": ""Entertainment"",	""politics"": ""Society""	}	)	df_bbc.head()"
106,12_news_aggregator.ipynb,36,markdown,slide,5,"## Colab demo: [News Category Dataset](https://www.kaggle.com/rmisra/news-category-dataset)		**Advantages**: large dataset, many categories.		**Disadvantages**: no full articles, only short descriptions."
107,12_news_aggregator.ipynb,37,code,-,2,"df_news = pd.read_csv(""harbour-space-text-mining-course/datasets/news_category_dataset/category_headline_description.csv"")	df_news.head()"
