arxiv_id	title	summary	is_cond_mat	num_refs	num_refs_same_category
hep-th/9109011	Critical Boundary Conditions for the Effective String	Gauge systems in the confining phase induce constraints at the boundaries of the effective string, which rule out the ordinary bosonic string even with short distance modifications. Allowing topological excitations, corresponding to winding around the colour flux tube, produces at the quantum level a universal free fermion string with a boundary phase nu=1/4. This coincides with a model proposed some time ago in order to fit Monte Carlo data of 3D and 4D Lattice gauge systems better. A universal value of the thickness of the colour flux tube is predicted.	0	4	2
hep-th/9111023	Representation of Quantum Algebras and q-Special Functions	The connection between q-analogs of special functions and representations of quantum algebras has been developed recently. It has led to advances in the theory of q-special functions that we here review.	0	3	2
hep-th/9111062	On the classification of quantum W-algebras	In this paper we consider the structure of general quantum W-algebras. We introduce the notions of deformability, positive-definiteness, and reductivity of a W-algebra. We show that one can associate a reductive finite Lie algebra to each reductive W-algebra. The finite Lie algebra is also endowed with a preferred $sl(2)$ subalgebra, which gives the conformal weights of the W-algebra. We extend this to cover W-algebras containing both bosonic and fermionic fields, and illustrate our ideas with the Poisson bracket algebras of generalised Drinfeld-Sokolov Hamiltonian systems. We then discuss the possibilities of classifying deformable W-algebras which fall outside this class in the context of automorphisms of Lie algebras. In conclusion we list the cases in which the W-algebra has no weight one fields, and further, those in which it has only one weight two field.	0	34	34
hep-th/9112037	From polymers to quantum gravity: triple-scaling in rectangular matrix models	Rectangular $N\times M$ matrix models can be solved in several qualitatively distinct large $N$ limits, since two independent parameters govern the size of the matrix. Regarded as models of random surfaces, these matrix models interpolate between branched polymer behaviour and two-dimensional quantum gravity. We solve such models in a `triple-scaling' regime in this paper, with $N$ and $M$ becoming large independently. A correspondence between phase transitions and singularities of mappings from ${\bf R}^2$ to ${\bf R}^2$ is indicated. At different critical points, the scaling behavior is determined by: i) two decoupled ordinary differential equations; ii) an ordinary differential equation and a finite difference equation; or iii) two coupled partial differential equations. The Painlev\'e II equation arises (in conjunction with a difference equation) at a point associated with branched polymers. For critical points described by partial differential equations, there are dual weak-coupling/strong-coupling expansions. It is conjectured that the new physics is related to microscopic topology fluctuations.	0	11	8
hep-lat/9201004	How to Put a Heavier Higgs on the Lattice	The cutoff dependence of the Scalar Sector of the Minimal Standard Model can result in an increase of the existing triviality bound estimates of the Higgs mass. We present a large $N$ calculation and some preliminary N=4 results that suggest that the increase can be as large as 30%, resulting to a bound of about 850 G eV.	0	3	3
math/9201262	Editors' remarks (on two complexity theory surveys in the Bulletin)	The authors discuss the role of controversy in mathematics as a preface to two opposing articles on computational complexity theory: "Some basic information on information-based complexity theory" by Beresford Parlett [math.NA/9201266] and "Perspectives on information-based complexity" by J. F. Traub and Henryk Wo\'zniakowski [math.NA/9201269].	0	0	0
hep-lat/9202004	Multicanonical Ensemble: A New Approach to Simulate First-order Phase Transitions	Relying on the recently proposed multicanonical algorithm, we present a numerical simulation of the first order phase transition in the 2d 10-state Potts model on lattices up to sizes $100\times100$. It is demonstrated that the new algorithm $lacks$ an exponentially fast increase of the tunneling time between metastable states as a function of the linear size $L$ of the system. Instead, the tunneling time diverges approximately proportional to $L^{2.65}$. Thus the computational effort as counted per degree of freedom for generating an independent configuration in the unstable region of the model rises proportional to $V^{2.3}$, where $V$ is the volume of the system. On our largest lattice we gain more than two orders of magnitude as compared to a standard heat bath algorithm. As a first physical application we report a high precision computation of the interfacial tension.	0	470	63
hep-th/9202010	Toward a Conformal Field Theory for the Quantum Hall Effect	An effective Hamiltonian for the study of the quantum Hall effect is proposed. This Hamiltonian, which includes a ``current-current" interaction has the form of a Hamiltonian for a conformal field theory in the large $N$ limit. An order parameter is constructed from which the Hamiltonian may be derived. This order parameter may be viewed as either a collective coordinate for a system of $N$ charged particles in a strong magnetic field; or as a field of spins associated with the cyclotron motion of these particles.	0	0	0
hep-th/9202063	A Loop Representation for the Quantum Maxwell Field	Quantization of the free Maxwell field in Minkowski space is carried out using a loop representation and shown to be equivalent to the standard Fock quantization. Because it is based on coherent state methods, this framework may be useful in quantum optics. It is also well-suited for the discussion of issues related to flux quantization in condensed matter physics. Our own motivation, however, came from a non-perturbative approach to quantum gravity. The concrete results obtained in this paper for the Maxwell field provide independent support for that approach. In addition, they offer some insight into the physical interpretation of the mathematical structures that play, within this approach, an essential role in the description of the quantum geometry at Planck scale.	0	14	3
hep-th/9202065	Algebraic Structures and Eigenstates for Integrable Collective Field Theories	Conditions for the construction of polynomial eigen--operators for the Hamiltonian of collective string field theories are explored. Such eigen--operators arise for only one monomial potential $v(x) = \mu x^2$ in the collective field theory. They form a $w_{\infty}$--algebra isomorphic to the algebra of vertex operators in 2d gravity. Polynomial potentials of orders only strictly larger or smaller than 2 have no non--zero--energy polynomial eigen--operators. This analysis leads us to consider a particular potential $v(x)= \mu x^2 + g/x^2$. A Lie algebra of polynomial eigen--operators is then constructed for this potential. It is a symmetric 2--index Lie algebra, also represented as a sub--algebra of $U (s\ell (2)).$	0	16	14
hep-ph/9203204	The quest for low-energy supersymmetry and the role of high-energy $e^+e^-$ colliders	The motivations for low-energy supersymmetry and the main features of the minimal supersymmetric extension of the Standard Model are reviewed. Possible non-minimal models and the issue of gauge coupling unification are also discussed. Theoretical results relevant for supersymmetric particle searches at present and future accelerators are presented, with emphasis on the role of a proposed $\epem$ collider with $\sqrt{s} = 500 \gev$. In particular, recent results on radiative corrections to supersymmetric Higgs boson masses and couplings are summarized, and their implications for experimental searches are discussed in some detail. (Plenary talk at the Workshop on Physics and Experiments with Linear Colliders, Saariselk\"a, Lapland, Finland, 9--14 September 1991)	0	3	3
hep-th/9203064	New Approach to Thermal Bethe Ansatz	We present a new approach to the calculation of thermodynamic functions for crossing-invariant models solvable by Bethe Ansatz. In the case of the XXZ Heisemberg chain we derive, for arbitrary values of the anysotropy, a {\bf single} non--linear integral equation from which the free energy can be exactly calculated. The high--temperature expansion follows in a sistematic and relatively simple way. For low temperatures we obtain the correct central charge and predict the analytic structure of the full expansion around $T=0$. Furthermore, we derive a single non-linear integral equation describing the finite--size ground--state energy of the Sine--Gordon quantum field theory. PACS: 05.30, 03.70. 75.10.5	0	15	15
hep-th/9204081	Signature Characters for the Virasoro Algebra	The number of ghost states at each energy level in a non-unitary conformal field theory is encoded in the signature characters of the relevant Virasoro algebra highest weight representations. We give expressions for these signature characters. These results complete Friedan-Qiu-Shenker's analysis of the Virasoro algebra's highest weight representations.	0	0	0
hep-th/9205002	Fusion Rules for the q-deformed Vertex Operators of U_q(sl(2)^)	We analyze the properties of the q-vertex operators of U_q(sl(2)^) introduced by Frenkel and Reshetikhin. As the condition for the null vector decoupling, we derive the existence condition of the q-vertex operators ( the fusion rules ).	0	1	1
hep-th/9205005	Comments on Unitarity in the Antifield Formalism	It is shown that the local completeness condition introduced in the analysis of the locality of the gauge fixed action in the antifield formalism plays also a key role in the proof of unitarity.	0	6	6
