,Source,Target,Type,Weight,book
0,Geralt,Adda,Undirected,3,1
1,Geralt,Foltest,Undirected,5,1
2,Foltest,Geralt,Undirected,5,1
3,Adda,Geralt,Undirected,1,1
4,Foltest,Adda,Undirected,1,1
5,Geralt,Yennefer,Undirected,24,1
6,Yennefer,Geralt,Undirected,24,1
7,Geralt,Merigold,Undirected,1,1
8,Geralt,Eskel,Undirected,1,1
9,Geralt,Vesemir,Undirected,1,1
10,Eskel,Vesemir,Undirected,1,1
11,Yennefer,Geralt,Undirected,39,2
12,Geralt,Yennefer,Undirected,15,2
13,Dandelion,Geralt,Undirected,106,2
14,Geralt,Dandelion,Undirected,108,2
15,Vivaldi,Dandelion,Undirected,5,2
16,Dandelion,Vivaldi,Undirected,6,2
17,Geralt,Vivaldi,Undirected,1,2
18,Vivaldi,Geralt,Undirected,3,2
19,Yennefer,Dandelion,Undirected,3,2
20,Dandelion,Yennefer,Undirected,2,2
21,Dandelion,Ciri,Undirected,4,2
22,Ciri,Geralt,Undirected,37,2
23,Geralt,Ciri,Undirected,55,2
24,Ciri,Vesemir,Undirected,2,2
25,Vesemir,Ciri,Undirected,2,2
26,Geralt,Merigold,Undirected,2,2
27,Merigold,Geralt,Undirected,3,2
28,Ciri,Dandelion,Undirected,1,2
29,Ciri,Geralt,Undirected,91,3
30,Geralt,Ciri,Undirected,75,3
31,Dandelion,Geralt,Undirected,16,3
32,Dandelion,Yennefer,Undirected,13,3
33,Dandelion,Ciri,Undirected,4,3
34,Geralt,Yennefer,Undirected,24,3
35,Geralt,Dandelion,Undirected,17,3
36,Yennefer,Ciri,Undirected,65,3
37,Yennefer,Dandelion,Undirected,8,3
38,Yennefer,Geralt,Undirected,20,3
39,Ciri,Dandelion,Undirected,10,3
40,Geralt,Foltest,Undirected,7,3
41,Foltest,Dandelion,Undirected,3,3
42,Foltest,Geralt,Undirected,6,3
43,Ciri,Yennefer,Undirected,71,3
44,Eskel,Ciri,Undirected,6,3
45,Ciri,Eskel,Undirected,6,3
46,Ciri,Lambert,Undirected,11,3
47,Lambert,Ciri,Undirected,15,3
48,Ciri,Vesemir,Undirected,14,3
49,Vesemir,Geralt,Undirected,16,3
50,Ciri,Merigold,Undirected,8,3
51,Merigold,Ciri,Undirected,7,3
52,Lambert,Vesemir,Undirected,4,3
53,Vesemir,Ciri,Undirected,15,3
54,Merigold,Geralt,Undirected,3,3
55,Vesemir,Lambert,Undirected,6,3
56,Lambert,Geralt,Undirected,6,3
57,Geralt,Vesemir,Undirected,10,3
58,Merigold,Vesemir,Undirected,3,3
59,Geralt,Eskel,Undirected,2,3
60,Vesemir,Eskel,Undirected,1,3
61,Eskel,Vesemir,Undirected,2,3
62,Eskel,Lambert,Undirected,2,3
63,Lambert,Eskel,Undirected,1,3
64,Eskel,Geralt,Undirected,2,3
65,Lambert,Merigold,Undirected,1,3
66,Geralt,Lambert,Undirected,1,3
67,Lambert,Foltest,Undirected,1,3
68,Merigold,Yennefer,Undirected,4,3
69,Geralt,Merigold,Undirected,3,3
70,Ciri,Scoia,Undirected,9,3
71,Scoia,Geralt,Undirected,2,3
72,Geralt,Scoia,Undirected,9,3
73,Scoia,Ciri,Undirected,10,3
74,Dandelion,Shani,Undirected,11,3
75,Shani,Dandelion,Undirected,8,3
76,Philippa,Dandelion,Undirected,10,3
77,Dandelion,Philippa,Undirected,20,3
78,Philippa,Geralt,Undirected,9,3
79,Geralt,Philippa,Undirected,10,3
80,Philippa,Yennefer,Undirected,1,3
81,Yennefer,Philippa,Undirected,6,3
82,Geralt,Shani,Undirected,7,3
83,Shani,Geralt,Undirected,4,3
84,Yennefer,Shani,Undirected,1,3
85,Shani,Philippa,Undirected,4,3
86,Ciri,Philippa,Undirected,2,3
87,Philippa,Shani,Undirected,3,3
88,Scoia,Foltest,Undirected,2,3
89,Adda,Ciri,Undirected,1,3
90,Merigold,Philippa,Undirected,4,3
91,Philippa,Ciri,Undirected,4,3
92,Ciri,Shani,Undirected,2,3
93,Ciri,Foltest,Undirected,2,3
94,Foltest,Ciri,Undirected,1,3
95,Ciri,Yennefer,Undirected,40,4
96,Dandelion,Geralt,Undirected,9,4
97,Geralt,Ciri,Undirected,16,4
98,Foltest,Ciri,Undirected,1,4
99,Ciri,Geralt,Undirected,10,4
100,Geralt,Yennefer,Undirected,30,4
101,Yennefer,Ciri,Undirected,35,4
102,Vivaldi,Ciri,Undirected,1,4
103,Vivaldi,Yennefer,Undirected,3,4
104,Ciri,Vivaldi,Undirected,1,4
105,Yennefer,Vivaldi,Undirected,1,4
106,Foltest,Yennefer,Undirected,1,4
107,Yennefer,Scoia,Undirected,2,4
